,characters,categ
1067,Groundskeeper Willie,Adults
1068,Groundskeeper Wilma,Adults
1069,Guidance Counselor,Adults
1070,Guillermo,Adults
1071,Guillermo del Toro,Adults
1072,Guinness Book of World Records host,Adults
1073,Guitarist,Adults
1074,Gulf War Soldier 1,Adults
1075,Gulf War Soldier 2,Adults
1076,Gulf War Soldier 3,Adults
1077,Gulliver Dark,Adults
1078,Gulp 'n' Blow Waitress,Adults
1079,Al Gumble,Adults
1080,Arnie Gumble,Adults
1081,Barney Gumble,Adults
1082,Gummi Salesman,Adults
1083,Gil Gunderson,Adults
1084,Gunter (Mom and Pop Art),Adults
1085,Ferdinand Gurney,Adults
1086,Gus,Adults
1087,Guthrie Frenel,Adults
1088,Guy Who Watched Homer's Speech 1,Adults
1089,Guy Who Watched Homer's Speech 2,Adults
1090,The Cable Guy,Adults
1091,Gwen,Adults
1092,Gwendolyn Hertzfeld-Mastroantonio,Adults
1093,Gym Teacher,Adults
1094,Gypsy,Adults
1095,Gyro,Adults
1096,Hadley Richardson,Adults
1097,Hairdresser,Adults
1098,Haiti Veteran,Adults
1099,Hall of Records Agent,Adults
1100,Hall of Records Agent (Sideshow Bob Roberts),Adults
1101,Mark Hamill (character),Adults
1102,Handsome bachelor,Adults
1103,Handsome bachelor's brothers,Adults
1104,Hank Hill,Adults
1105,Tom Hanks (character),Adults
1106,Hans (businessman),Adults
1107,Hans Moleman's family,Adults
1108,Chris Hansen (character),Adults
1109,The Happiest Man in Springfield,Adults
1110,David Harbour,Adults
1111,Kurt Hardwick,Adults
1112,Constance Harm,Adults
1113,Harold Charles,Adults
1114,George Harrison (character),Adults
1115,Reid Harrison,Adults
1116,Harry Houdini,Adults
1117,Allen Hartz,Adults
1118,Harvard Graduate,Adults
1119,Mrs. Harvell,Adults
1120,Ron Hauge,Adults
1121,Tony Hawk (character),Adults
1122,Stephen Hawking,Adults
1123,Stephen Hawking (character),Adults
1124,Brendan Hay,Adults
1125,Hazel,Adults
1126,Hazmat Employee,Adults
1127,Head Judge,Adults
1128,Head of Springfield Box Factory,Adults
1129,Head of the Spaceology Department,Adults
1130,Headless Horseman,Adults
1131,Verity Heathbar,Adults
1132,Heathrow Teleport Departures Worker,Adults
1133,Heavenly Hills businessman,Adults
1134,Heavenly Hills owner,Adults
1135,Helen Reddy,Adults
1136,Elhanan Helpman,Adults
1137,Henri,Adults
1138,Henry (Smart and Smarter),Adults
1139,Henry Kissinger,Adults
1140,King Henry VIII,Adults
1141,Herman Hermann,Adults
1142,Baron von Herzenberger,Adults
1143,Charlton Heston,Adults
1144,Hey Hey Guy,Adults
1145,Bernice Hibbert,Adults
1146,Julius Hibbert,Adults
1147,Hiccuping Man,Adults
1148,Willard Hickman,Adults
1149,Yuma Hickman,Adults
1150,Zeke Hickman,Adults
1151,Hillbilly,Adults
1152,Hip Diddler,Adults
1153,Hippie,Adults
1154,Hippie Bus Driver,Adults
1155,Adolf Hitler,Adults
1156,Hobo (Boy-Scoutz 'n the Hood),Adults
1157,Hobo (Burns' Heir),Adults
1158,Hobo 1 (Homer and Apu),Adults
1159,Hocksville Tennessee Clerk,Adults
1160,Buddy Hodges,Adults
1161,Hollis Hurlbut,Adults
1162,Holly Hippie,Adults
1163,Hollywood Upstairs student,Adults
1164,Bengt R. Holmström,Adults
1165,Home Wreckers,Adults
1166,Homer Fraud,Adults
1167,Homer Glumplich,Adults
1168,The Homer Impostor,Adults
1169,Homer Simpson (Call Me Homer),Adults
1170,Homer Simpson-Lookalike,Adults
1171,Homer's cousin,Adults
1172,Homer's cousin's wife,Adults
1173,Homer's XXXercise Tape,Adults
1174,Homeroni,Adults
1175,Honoré Bouvier,Adults
1176,Hooker,Adults
1177,Elizabeth Hoover,Adults
1178,Bob Hope (character),Adults
1179,Quinn Hopper,Adults
1180,James Horner,Adults
1181,Horst,Adults
1182,Horst DeBoeuf,Adults
1183,Hospital administrator (future),Adults
1184,Hot Dog Vendor,Adults
1185,Hot Dog Vendor (Bart Carny),Adults
1186,Hot Dog Vendor (Homer at the Bat),Adults
1187,Hot Dog Vendor (Homer Loves Flanders),Adults
1188,Hot Flash,Adults
1189,Walter Hotenhoffer,Adults
1190,House Fire Victim,Adults
1191,House of Evil Shopkeeper,Adults
1192,Houseware Warehouse Clerk,Adults
1193,Howard (florist),Adults
1194,Howard's Mother,Adults
1195,"Howard, Jr.",Adults
1196,Ron Howard (character),Adults
1197,Huell Howser (character),Adults
1198,Mrs. Hoxha,Adults
1199,Hudson Brothers,Adults
1200,Hugh Hefner,Adults
1201,Hugh Hefner (character),Adults
1202,Hugh Parkfield,Adults
1203,The Incredible Hulk,Adults
1204,The Human Fly,Adults
1205,Human Librarian,Adults
1206,The Human Torque,Adults
1207,Hunter (couch gag),Adults
1208,Hurt Leg Simpson Relative,Adults
1209,Howell Huser,Adults
1210,Lionel Hutz,Adults
1211,Hypnotist,Adults
1212,Ian (Very Tall Man),Adults
1213,Ice Cream Lady,Adults
1214,Ice Cream Man,Adults
1215,Ice Cream Manager,Adults
1216,Ice Cream Shop Woman,Adults
1217,Ice Excavator,Adults
1218,Iggy Pop,Adults
1219,Igor Pommelhorse,Adults
1220,Ike Pross,Adults
1221,Ilhan Omar,Adults
1222,Ilsa,Adults
1223,Impervo the Painless,Adults
1224,Improv Comedian,Adults
1225,Guy Incognito,Adults
1226,Inga,Adults
1227,Inga (Coming to Homerica),Adults
1228,Ingrid Schedeen,Adults
1229,Insane Man,Adults
1230,Insurance Broker,Adults
1231,Insurance Broker (Homer the Heretic),Adults
1232,Insurance Broker (Mr. Plow),Adults
1233,Intellectual Homer,Adults
1234,Kathy Ireland,Adults
1235,Irish Neighbor,Adults
1236,Irish Policeman,Adults
1237,Irishman,Adults
1238,Iron Lung,Adults
1239,Ironfist Burns,Adults
1240,Enrico Irritazio,Adults
1241,IRS Agent 1,Adults
1242,IRS Agent 2,Adults
1243,Irving Zitsofsky,Adults
1244,Isaac Newton,Adults
1245,David Isaacs,Adults
1246,Isabel Sanford (character),Adults
1247,Isotots commentator,Adults
1248,Italian Pete,Adults
1249,Itchy & Scratchy Land clerk,Adults
1250,Itchy & Scratchy Land Employee,Adults
1251,Itchy & Scratchy Land Guard 1,Adults
1252,Itchy & Scratchy Land Guard 2,Adults
1253,Itchy & Scratchy Land Scientist 1,Adults
1254,Itchy & Scratchy Land Scientist 2,Adults
1255,Itchy & Scratchy Land Scientist 3,Adults
1256,Itchy & Scratchy Land Scientist 4,Adults
1257,Itchy and Scratchy Animator,Adults
1258,Itchy mascot,Adults
1259,Eddie Izzard,Adults
1260,J.P.,Adults
1261,Jack LaLanne,Adults
1262,Jack Nicholson,Adults
1263,Jack Nicklaus,Adults
1264,Wolfguy Jack,Adults
1265,Jackson Browne,Adults
1266,Joshua Jackson,Adults
1267,Jacob Flanders,Adults
1268,Jacqueline (Springfield Squares),Adults
1269,Jacques,Adults
1270,Snake Jailbird,Adults
1271,Jake the Barber,Adults
1272,Jakob,Adults
1273,James Brown (character),Adults
1274,James Earl Jones (character),Adults
1275,James Keefer,Adults
1276,LeBron James,Adults
1277,Jamie Hyneman (character),Adults
1278,Jane (Movementarian),Adults
1279,Jane Leeves,Adults
1280,Janet Reno (character),Adults
1281,Janitor,Adults
1282,"Janitor (Burns, Baby Burns)",Adults
1283,Japanese Worker,Adults
1284,Jar Jar Binks,Adults
1285,Jason Bateman (character),Adults
1286,Jason Voorhees,Adults
1287,Jasper Johns,Adults
1288,Hugh Jass,Adults
1289,Jay Leno (character),Adults
1290,Al Jean,Adults
1291,Jean-Claude Charles,Adults
1292,Jean-Paul LaValle,Adults
1293,Jebediah Actor,Adults
1294,Jeeves,Adults
1295,Jeff Ross (character),Adults
1296,Jehoshaphat Flanders,Adults
1297,Jenda,Adults
1298,Geoff Jenkins,Adults
1299,Jenna Martin,Adults
1300,Jennifer,Adults
1301,Jennifer Crittenden,Adults
1302,Jennifer Garner,Adults
1303,Jeopardy Contestant 1,Adults
1304,Jeopardy Contestant 2,Adults
1305,Jer,Adults
1306,Jeremy (network executive),Adults
1307,Jerome,Adults
1308,Jerri Mackleberry,Adults
1309,Jerry (Days of Future Future),Adults
1310,Jerry Springer (character),Adults
1311,Jesminder Bhamra's father,Adults
1312,Jesse,Adults
1313,Jesse Pinkman,Adults
1314,Jessica Simpson (character),Adults
1315,Jet,Adults
1316,Jim Cummings,Adults
1317,Jim Forbes,Adults
1318,Jim Hope,Adults
1319,Jim Messina,Adults
1320,Jim Morrison,Adults
1321,Jim Wallace,Adults
1322,Lucky Jim,Adults
1323,Jim-Jam Bonks,Adults
1324,Jimi Hendrix,Adults
1325,Jimmy Apollo,Adults
1326,Jimmy the Scumbag,Adults
1327,Jittery Joe's Waiter,Adults
1328,Jock,Adults
1329,Joe,Adults
1330,Joe Banks,Adults
1331,Joe Biden,Adults
1332,Joe C. (character),Adults
1333,Joe Frazier (character),Adults
1334,Joe Namath,Adults
1335,Joey (mafia),Adults
1336,Joey Miyashima,Adults
1337,Johansen,Adults
1338,John (Homer's Phobia),Adults
1339,John Armstrong,Adults
1340,John C. Reilly (character),Adults
1341,John Kassir,Adults
1342,John Lennon,Adults
1343,John Oates,Adults
1344,John S.,Adults
1345,John Swartzelder,Adults
1346,John Travolta,Adults
1347,John Updike (character),Adults
1348,John Winslow,Adults
1349,Elton John (character),Adults
1350,Johnny (Canadian),Adults
1351,Johnny (Stacy's ex-husband),Adults
1352,Johnny Carson (character),Adults
1353,Johnny Stabbo,Adults
1354,Johnny Tightlips,Adults
1355,Johnson,Adults
1356,Joker,Adults
1357,The Jokester,Adults
1358,Jon Stewart (character),Adults
1359,Jonathan Taylor Thomas,Adults
1360,Mr. Jones,Adults
1361,Carol Jones,Adults
1362,Godfrey Jones,Adults
1363,Rachel Jordan,Adults
1364,Joseph Stalin,Adults
1365,Josh Groban,Adults
1366,Joshua and Amber's Mom,Adults
1367,Joyce Kinney,Adults
1368,Judah Ben-Hur,Adults
1369,Judd Apatow,Adults
1370,Judge Julie,Adults
1371,Mike Judge,Adults
1372,Judith Owen,Adults
1373,Judith Owen (character),Adults
1374,Julia (Friends and Family),Adults
1375,Julia (The Homer of Seville),Adults
1376,Julia Roberts,Adults
1377,Julian Assange (character),Adults
1378,Juliana Krellner,Adults
1379,Julio Franco,Adults
1380,Julius Hibbert's brother,Adults
1381,Jury Foreman,Adults
1382,Just Stamp the Ticket Man,Adults
1383,Justice Agent,Adults
1384,Justin Bieber (character),Adults
1385,Justin Timberlake (character),Adults
1386,Justin's father,Adults
1387,Jóhanna Sigurðardóttir,Adults
1388,Kabuli Man 1,Adults
1389,Kamala Harris,Adults
1390,Fred Kanneke,Adults
1391,Kara DioGuardi,Adults
1392,Kareem Abdul-Jabbar,Adults
1393,Karen,Adults
1394,Karen (socialite),Adults
1395,Karl,Adults
1396,Princess Kashmir,Adults
1397,Kate Winslet,Adults
1398,Katherine Blodgett,Adults
1399,Kathie Lee Gifford,Adults
1400,Kathy,Adults
1401,Kathy Griffin,Adults
1402,Katy Perry (character),Adults
1403,Lance Kaufman,Adults
1404,Kavi Nahasapeemapetilon,Adults
1405,KBBL DJ (Fear of Flying),Adults
1406,KBBL Guy,Adults
1407,KBBL Psychic,Adults
1408,Keith,Adults
1409,Keith Richards,Adults
1410,Keith's wife,Adults
1411,Brian Kelley,Adults
1412,Ms. Kelp,Adults
1413,Princess Kemi,Adults
1414,Ken Jennings (character),Adults
1415,Ken Krabappel,Adults
1416,Keneally,Adults
1417,John F. Kennedy,Adults
1418,Kenny's mother,Adults
1419,Kensey,Adults
1420,Kent Brokodopolis,Adults
1421,Keone Young,Adults
1422,Eric Keyes,Adults
1423,Khlav Kalash vendor,Adults
1424,Kid Rock (character),Adults
1425,Kid Sourpuss,Adults
1426,Larry Kidkill,Adults
1427,Kiki Highsmith,Adults
1428,Jamie Killday,Adults
1429,Kim,Adults
1430,Kim Basinger (character),Adults
1431,Kim Hwan,Adults
1432,Kim Jong-il,Adults
1433,Kim Jong-un,Adults
1434,Kindergarten Teacher,Adults
1435,Kindergarten Teacher (Lisa's Sax),Adults
1436,King and Queen Award Presenter,Adults
1437,King Ramses,Adults
1438,Mark Kirkland,Adults
1439,Kitenge,Adults
1440,Kitty Carlisle,Adults
1441,KJAZZ DJ,Adults
1442,Klaus Ziegler,Adults
1443,Kliff,Adults
1444,Colonel Klink,Adults
1445,Knightboat Star,Adults
1446,Knitting Grandma,Adults
1447,Kobe Bryant,Adults
1448,Jay Kogen,Adults
1449,Wally Kogen,Adults
1450,Kora,Adults
1451,Edna Krabappel,Adults
1452,Officer Krackney,Adults
1453,Lance Kramer,Adults
1454,Colby Krause,Adults
1455,Kristen Schaal,Adults
1456,Archie Krupp,Adults
1457,Coach Krupt,Adults
1458,Mrs. Krupt,Adults
1459,Nancy Kruse,Adults
1460,Barbara Van Horne,Adults
1461,Hyman Krustofsky,Adults
1462,Krusty Accountant 1,Adults
1463,Krusty Accountant 2,Adults
1464,The Krusty Burglar,Adults
1465,Krusty Executive,Adults
1466,Krusty the Clown,Adults
1467,Krusty's ex-girlfriend,Adults
1468,Krusty's Lawyer,Adults
1469,Stanley Kubrick,Adults
1470,Kurt Cobain,Adults
1471,Cookie Kwan,Adults
1472,Michelle Kwan,Adults
1473,Kwik-E-Mart Inspector,Adults
1474,Kwik-E-Mart President,Adults
1475,Kwik-E-Mart Recruitment Agent,Adults
1476,Kyle Derin,Adults
1477,Kyle's Father,Adults
1478,Kyle's Mother,Adults
1479,Kyoto,Adults
1480,L.B. Jefferies,Adults
1481,Joe LaBoot,Adults
1482,Deb Lacusta,Adults
1483,Lady Duff,Adults
1484,Lady Gaga (character),Adults
1485,Rita LaFleur,Adults
1486,"Lambert Gobel, Jr.",Adults
1487,Lamuel,Adults
1488,Lancelot Link,Adults
1489,Ann Landers,Adults
1490,Lyle Lanley,Adults
1491,Dewey Largo,Adults
1492,Larina Jean Adamson,Adults
1493,Larry (barfly),Adults
1494,Larry (driver),Adults
1495,Larry Davis,Adults
1496,Larry King (character),Adults
1497,Larry McKay,Adults
1498,Gary Larson,Adults
1499,Gary Larson (character),Adults
1500,Jack Larson,Adults
1501,Late shift worker 1,Adults
1502,Late shift worker 2,Adults
1503,Late shift worker 3,Adults
1504,"Larry H. Lawyer, Jr.",Adults
1505,Rob LaZebnik,Adults
1506,The Leader,Adults
1507,League of Evil,Adults
1508,Denis Leary (character),Adults
1509,Leavelle,Adults
1510,Hannibal Lecter,Adults
1511,Alfreda LeDoux,Adults
1512,Lee Majors,Adults
1513,Stan Lee (character),Adults
1514,Leeza Gibbons,Adults
1515,Legs,Adults
1516,Lem,Adults
1517,Lenny Kravitz,Adults
1518,Lenny Leonard's date,Adults
1519,Lenny Leonard's girlfriend,Adults
1520,Jay Leno,Adults
1521,Lenora Carter,Adults
1522,Lenore,Adults
1523,Leo G Clark,Adults
1524,Leon Kompowsky,Adults
1525,Lenny Leonard,Adults
1526,Lenny Leonard's sister,Adults
1527,Leopold,Adults
1528,Leprechaun,Adults
1529,Leroy,Adults
1530,Les Moore,Adults
1531,Les Rock Stars,Adults
1532,Leslie Mann,Adults
1533,Leslie Robin Swisher,Adults
1534,Lisa Leslie,Adults
1535,Lester (Milhouse Doesn't Live Here Anymore),Adults
1536,Ken Levine,Adults
1537,Lewis Clark's grandfather,Adults
1538,Lewis Lapham,Adults
1539,Emmanuel Lewis,Adults
1540,Li'l Valu-Mart clerk,Adults
1541,Librarian,Adults
1542,Lifeways Editor,Adults
1543,Linda McCartney (character),Adults
1544,Liquor store employee,Adults
1545,Lisa's ex-girlfriends,Adults
1546,Lisabella,Adults
1547,Littering Man,Adults
1548,Little Bearded Woman,Adults
1549,Little Black Box Bartender,Adults
1550,Lucy Liu,Adults
1551,Lloyd,Adults
1552,Loading dock worker,Adults
1553,Lombardo,Adults
1554,Lonely Man,Adults
1555,Lonely Veteran,Adults
1556,Tim Long,Adults
1557,Loni Anderson,Adults
1558,Lord Voldemort,Adults
1559,Lorne Michaels,Adults
1560,Lottery commercial actor 1,Adults
1561,Lottery commercial actor 2,Adults
1562,Lottery Representative,Adults
1563,Lou,Adults
1564,Louie (mafia),Adults
1565,Louie (Midnight Towboy),Adults
1566,Louie's Mother,Adults
1567,Helen Lovejoy,Adults
1568,Timothy Lovejoy Jr.,Adults
1569,Lowblow,Adults
1570,Luann Van Houten,Adults
1571,Luann's Sister,Adults
1572,Anton Lubchenko,Adults
1573,Lucille Botzcowski,Adults
1574,Lucille Van Horne,Adults
1575,Ludacris (character),Adults
1576,Lugash,Adults
1577,Luke Perry (character),Adults
1578,Luke Skywalker (parody),Adults
1579,Lurleen Lumpkin,Adults
1580,Royce Lumpkin,Adults
1581,Lurleen's Manager,Adults
1582,Lyla,Adults
1583,Jeffrey Lynch,Adults
1584,M.C Birthday,Adults
1585,Horatio McCallister,Adults
1586,MacArthur Parker,Adults
1587,Patty MacDonald,Adults
1588,William MacDougal II,Adults
1589,Lauren MacMullan,Adults
1590,Mad Scientist (couch gag),Adults
1591,Mademoissele Meringue,Adults
1592,Maggie's Husband,Adults
1593,Magic Johnson,Adults
1594,Magic Johnson (character),Adults
1595,Ray Magini,Adults
1596,Maid,Adults
1597,Mail Delivery Man,Adults
1598,Mailman (You Only Move Twice),Adults
1599,Maitre D',Adults
1600,Major Nougat,Adults
1601,Major Preston,Adults
1602,Male actor,Adults
1603,Male Korean Artist 1 (couch gag),Adults
1604,Male Korean Artist 2 (couch gag),Adults
1605,Male Korean Artist 3 (couch gag),Adults
1606,Male Nuclear Inspector,Adults
1607,Male potential buyer,Adults
1608,Male Red Tick Employee,Adults
1609,Male Spinal Tap Fan,Adults
1610,Malibu Stacy Executive,Adults
1611,Malibu Stacy Tour Guide,Adults
1612,Malicious Krubb,Adults
1613,Mall Cop,Adults
1614,Mall Guard 1,Adults
1615,Mall Guard 2,Adults
1616,Cliff Clavin,Adults
1617,Sam Malone,Adults
1618,Woody Boyd,Adults
1619,Malpractice Committee Representative,Adults
1620,Mama Celeste,Adults
1621,Man in military uniform,Adults
1622,Man O' Pies,Adults
1623,Man with quarters,Adults
1624,Man with Script,Adults
1625,Man with the Braces,Adults
1626,Man with Whip,Adults
1627,Manacek,Adults
1628,Shelbyville Manhattan,Adults
1629,Manjula's Father,Adults
1630,Manjula's Mother,Adults
1631,Admiral Mann,Adults
1632,Avery Mann,Adults
1633,Otto Mann,Adults
1634,Joe Mantegna,Adults
1635,Margaret Thatcher,Adults
1636,Margarita,Adults
1637,Marge Fraud,Adults
1638,Marge's Dream Lover,Adults
1639,Maria Quimby,Adults
1640,Marie Trousseau,Adults
1641,Cheech Marin (character),Adults
1642,Marine World Guard,Adults
1643,Mark (Regarding Margie),Adults
1644,Mark Skinner (Agnes Skinner's Father),Adults
1645,Mark Wiggum,Adults
1646,Jack Marley,Adults
1647,Marlin,Adults
1648,Marshmallow Square Guy,Adults
1649,Martha (librarian),Adults
1650,Martha (robber),Adults
1651,Martha Stewart (character),Adults
1652,"Martin Luther King, Jr.",Adults
1653,Martin Prince's Grandmother,Adults
1654,Jeff Martin,Adults
1655,Martina Carcetti,Adults
1656,Marty (KBBL DJ),Adults
1657,Mary (On a Clear Day I Can't See My Sister),Adults
1658,Mary-Kate and Ashley Olsen (characters),Adults
1659,Master Sushi Chef,Adults
1660,Math teacher,Adults
1661,Mathemagician,Adults
1662,Don Mattingly (character),Adults
1663,Matzo ball soup chef,Adults
1664,Mav,Adults
1665,Max (Ice Cream Man),Adults
1666,Max Weinberg,Adults
1667,Maximus Decimus Charles III,Adults
1668,Maxine Lombard,Adults
1669,Maxwell Flinch,Adults
1670,Maya,Adults
1671,Mayan priest,Adults
1672,Mayan scientist,Adults
1673,Mayo Clinic Doctor,Adults
1674,Mayor Quimby's Bodyguards,Adults
1675,Mayor Quimby's niece,Adults
1676,Mayor Quimby's secret family,Adults
1677,MC Hammer,Adults
1678,C. W. McAllister,Adults
1679,McBain,Adults
1680,Lyle McCarthy,Adults
1681,Paul McCartney (character),Adults
1682,Troy McClure,Adults
1683,Audrey McConnell,Adults
1684,Buck McCoy,Adults
1685,Griff McDonald,Adults
1686,Dan McGrath,Adults
1687,Phil McGraw,Adults
1688,Mark McJimsey,Adults
1689,Ian McKellen (character),Adults
1690,Brody McKenna,Adults
1691,Madison McKenna,Adults
1692,McMahon and Tate Executive,Adults
1693,Meathook,Adults
1694,Meaux,Adults
1695,Mechanic,Adults
1696,Mechanic (Bart the Lover),Adults
1697,Mechanic's boss,Adults
1698,Medicine Woman,Adults
1699,Meg Ryan,Adults
1700,Megan Amram,Adults
1701,Mel,Adults
1702,Mel Brooks (character),Adults
1703,Mel's wife,Adults
1704,Ms. Mellon,Adults
1705,Melrose Place actress,Adults
1706,Melvin Van Horne,Adults
1707,Merchandising Executive,Adults
1708,Meredith Milgram,Adults
1709,Merl,Adults
1710,André Merlot,Adults
1711,Colette Merlot,Adults
1712,Meryl Streep (character),Adults
1713,Mesmerino,Adults
1714,Metallica,Adults
1715,Meteorologist,Adults
1716,Meth Guy,Adults
1717,Methuselah,Adults
1718,"Roger Meyers, Sr.",Adults
1719,Michael Bridge,Adults
1720,Michael Buffer,Adults
1721,Michael Chabon,Adults
1722,Michael De Graaf,Adults
1723,Michael Ironside,Adults
1724,Michael Jackson (character),Adults
1725,Michael McKean,Adults
1726,Michael Moore (character),Adults
1727,Lea Michele,Adults
1728,Michelle Jenkins,Adults
1729,Pete Michels,Adults
1730,Michiko Nakamura,Adults
1731,Mick Jagger,Adults
1732,Mickey Mouse Bum,Adults
1733,Mickey Rooney (character),Adults
1734,Bette Midler,Adults
1735,Mike (Homer's Night Out),Adults
1736,Mike (Moms I'd Like to Forget),Adults
1737,Mike Benzie,Adults
1738,Father Mike,Adults
1739,Mikhail Gorbachev,Adults
1740,Milhouse's Tutor,Adults
1741,Military Accountant,Adults
1742,Military Barber 1,Adults
1743,Military Barber 2,Adults
1744,Military Doctor,Adults
1745,Millicent,Adults
1746,Millionaire Actor,Adults
1747,Milly Anne,Adults
1748,Milo,Adults
1749,Slobodan Milošević,Adults
1750,Milton Burkhart,Adults
1751,Milton Haas,Adults
1752,Mimi,Adults
1753,Madame Mimi,Adults
1754,Mina bin Laden,Adults
1755,Mindy (executive),Adults
1756,Mini-Ha-Ha,Adults
1757,Minister (Selma's Choice),Adults
1758,Miranda Potter,Adults
1759,David Mirkin,Adults
1760,Miss Goodthighs,Adults
1761,Miss Tillingham,Adults
1762,Miss Wyoming,Adults
1763,Miss Wyoming's boyfriend,Adults
1764,Mitch Hartwell,Adults
1765,Buck Mitchell,Adults
1766,Mr. Mitchell,Adults
1767,Marcia Mitzman Gaven,Adults
1768,Steve Mobbs,Adults
1769,Moe (Earthland Realms),Adults
1770,Moe's girlfriend,Adults
1771,Moe-looking Satan,Adults
1772,W. E. Moerner,Adults
1773,Hans Moleman,Adults
1774,Molloy,Adults
1775,Mom (Mom & Pop Hardware),Adults
1776,Mom 1,Adults
1777,Mom 2,Adults
1778,Monique Bouvier,Adults
1779,Monorail commercial actor,Adults
1780,Monorail controller 1,Adults
1781,Monorail controller 2,Adults
1782,Monorail passenger,Adults
1783,Marvin Monroe,Adults
1784,Mervin Monroe,Adults
1785,Monsignor Kenneth Daly,Adults
1786,Gary Montgomery,Adults
1787,Moody Blues,Adults
1788,Moon Guy,Adults
1789,Mooning Soldier,Adults
1790,Steven Dean Moore,Adults
1791,Helen Morehouse,Adults
1792,Morningwood Guard,Adults
1793,Mort Krupp,Adults
1794,Morty Szyslak,Adults
1795,Moses,Adults
1796,Mother (Duffless),Adults
1797,Mother Superior,Adults
1798,Garth Motherloving,Adults
1799,Mountain Ranger,Adults
1800,Mountain Ranger 2,Adults
1801,Mr. Amazing,Adults
1802,Mr. Belew,Adults
1803,Mr. Borton,Adults
1804,Mr. Boswell,Adults
1805,Mr. Burns' Campaign Leader,Adults
1806,Mr. Burns' Nurse,Adults
1807,Mr. Burns' Security Guards,Adults
1808,Mr. Burns' Vagrant Victim,Adults
1809,Mr. Clark,Adults
1810,Mr. Doyle,Adults
1811,Mr. Glascock,Adults
1812,Mr. Hippie,Adults
1813,Mr. Hobbes,Adults
1814,Mr. Hoxha,Adults
1815,Mr. Johanson,Adults
1816,Mr. Johnson,Adults
1817,Mr. Kupferberg,Adults
1818,Mr. Laswell,Adults
1819,Mr. McGreg,Adults
1820,Mr. McIntyre,Adults
1821,Mr. Monroe,Adults
1822,Mr. Montone,Adults
1823,Mr. Palaccio,Adults
1824,Mr. Parkfield,Adults
1825,Mr. Potato Head,Adults
1826,Mr. Powell,Adults
1827,Mr. Rhenquist,Adults
1828,Mr. Samson,Adults
1829,Mr. Schindler,Adults
1830,Mr. Somerset,Adults
1831,Mr. Sulu,Adults
1832,Mr. Winfield,Adults
1833,Mrs. Astor,Adults
1834,Mrs. Borton,Adults
1835,Mrs. Carlson,Adults
1836,Mrs. Clark,Adults
1837,Mrs. Dexter,Adults
1838,Mrs. Frink,Adults
1839,Mrs. Hobbes,Adults
1840,Mrs. Mann,Adults
1841,Mrs. Parkfield,Adults
1842,Mrs. Pennyfeather,Adults
1843,Mrs. Phillips,Adults
1844,Mrs. Powell (Janey's Mother),Adults
1845,Mrs. Rhenquist,Adults
1846,Mrs. Shorter,Adults
1847,Mrs. Smithers,Adults
1848,Ms. Barr,Adults
1849,Ms. Dubinsky,Adults
1850,Ms. Finch,Adults
1851,Ms. Marshall,Adults
1852,Ms. Myles,Adults
1853,Ms. Nahasapeemapetilon,Adults
1854,Ms. No Means No,Adults
1855,The MudSlinger,Adults
1856,Mugger,Adults
1857,Fox Mulder,Adults
1858,Munchie,Adults
1859,Judge Muntz,Adults
1860,Eddie Muntz,Adults
1861,Mrs. Muntz,Adults
1862,Rupert Murdoch (character),Adults
1863,Lance Murdock,Adults
1864,Muriel Chalmers,Adults
1865,Muriel Goldman,Adults
1866,Bleeding Gums Murphy,Adults
1867,Museum Guard,Adults
1868,Music Announcer,Adults
1869,Music Teacher,Adults
1870,Roger Meyers Jr.,Adults
1871,Myra,Adults
1872,Mystery Spot Employee,Adults
1873,Nadia Comăneci,Adults
1874,Lindsey Naegle,Adults
1875,Apu's Mother,Adults
1876,Apu Nahasapeemapetilon,Adults
1877,Sanjay Nahasapeemapetilon,Adults
1878,Yutaka Nakamura,Adults
1879,Nancy Drew,Adults
1880,Nancy O'Dell,Adults
1881,Nanny,Adults
1882,NASA Representative,Adults
1883,NASA Scientist,Adults
1884,NASA Technician,Adults
1885,Nash Castor,Adults
1886,National Energy Convention Announcer,Adults
1887,Native American 1,Adults
1888,Native American 2,Adults
1889,Naval Officer 1,Adults
1890,Naval Officer 2,Adults
1891,John Neal,Adults
1892,Ned Springfield,Adults
1893,Neil,Adults
1894,Neil Campbell,Adults
1895,Neil deGrasse Tyson (character),Adults
1896,Willie Nelson,Adults
1897,Willie Nelson (character),Adults
1899,Nerd (SU),Adults
1900,Nerdlinger,Adults
1901,Nero's Palace minister,Adults
1902,Edgar Neubauer,Adults
1903,Alfred E. Neuman,Adults
1904,Neve Campbell,Adults
1905,New Army Recruit,Adults
1906,New Beginnings Nurse,Adults
1907,New Coke Inventor,Adults
1908,New York Police Officer,Adults
1909,News Reporter (Call of the Simpsons),Adults
1910,News Reporter (Some Enchanted Evening 1),Adults
1911,News Reporter (Some Enchanted Evening 2),Adults
1912,News Reporter (Two Cars in Every Garage and Three Eyes on Every Fish),Adults
1913,Newscaster (Coca-Cola advert),Adults
1914,Newspaper reader,Adults
1915,Nichelle Nichols (character),Adults
1916,Nick (1),Adults
1917,Nick (2),Adults
1918,Nick Bakay,Adults
1919,Nick Callahan,Adults
1920,Nick Fury,Adults
1921,Nick Offerman,Adults
1922,Nick Park,Adults
