,characters,categ
436,Ronaldo (Blame It on Lisa),Children
437,Ronnie Beck,Children
438,Ross,Children
439,Roy Snyder's son,Children
440,Rudy,Children
441,Rudy Huxtable,Children
442,Rumor Spuckler,Children
443,Ruthie,Children
444,Sailor Kid,Children
445,Sam Monroe,Children
446,Brt Sampsan,Children
447,Leezuh Sampsan,Children
448,Maagi Sampsan,Children
449,Gerald Samson,Children
450,Sara (Student),Children
451,Sarah Plain & Tall,Children
452,Saul Bernstein,Children
453,The Scarlet Whimpernel,Children
454,Scratchy Jr.,Children
455,Cecile Shapiro,Children
456,Shelby,Children
457,Shelbyville boy,Children
458,Shelbyville lemonade boy,Children
459,Shelbyville lemonade boy's brother,Children
460,Shelbyville Martin,Children
461,Shelbyville Nelson,Children
462,Shelbyville Starter 'Staches,Children
463,Sherman,Children
464,Sherri and Terri,Children
465,Sherri and Terri's children,Children
466,Sherri and Terri's cousin,Children
467,Sherri and Terri's sister,Children
468,Sherri and Terri's unnamed sons,Children
469,Sherri Mackleberry,Children
470,Abraham Simpson I,Children
471,Bart Simpson,Children
472,"Bart Simpson, Jr.",Children
473,Brit Simpson,Children
474,Eliza Simpson,Children
475,Hugo Simpson II,Children
476,Lily Simpson,Children
477,Lisa Simpson,Children
478,Maggie Simpson,Children
479,Singaporean Girl,Children
480,Singing Girl,Children
481,Sissy Roulette,Children
482,Skippy Simpson,Children
483,Skull and Crossbones Baby,Children
484,Skyler Green,Children
485,Slightly Creepy Boy,Children
486,Sloan,Children
487,Smart Boy,Children
488,Smart Boy 2,Children
489,Smug Girl,Children
490,Son (The Wizard of Evergreen Terrace),Children
491,Son (There's No Disgrace Like Home),Children
492,Sophie Jensen,Children
493,Sascha Spuckler,Children
494,Splatterface,Children
495,Springfield Downs Kid,Children
496,Springfield Elementary School Band,Children
497,Springfield Elementary School Choir,Children
499,Obadiah Springfield,Children
500,Spuckler Children,Children
501,Birthday Spuckler,Children
502,Caitlin Spuckler,Children
503,Dermott Spuckler,Children
504,Jordan Spuckler,Children
505,Gummy Sue Spuckler,Children
506,Ian Spuckler,Children
507,International Harvester Spuckler,Children
508,Jitney Spuckler,Children
509,Lauren Spuckler,Children
510,Mary Spuckler,Children
511,Max Spuckler,Children
512,Q-Bert Spuckler,Children
513,Rubella Scabies Spuckler,Children
514,Scout Spuckler,Children
515,Stabbed in Jail Spuckler,Children
516,Taylor Spuckler,Children
517,Wesley Spuckler,Children
518,Zoe Spuckler,Children
519,Spud,Children
520,Stacey Deathsatan,Children
521,Stacey Swanson's son,Children
522,Samantha Stankey,Children
523,Star Trek Nerd,Children
524,"""Gold Star"" Scorpio",Children
525,Burton Stemple,Children
527,Clara Stetson,Children
528,Luke Stetson,Children
529,Steven (Bart Star),Children
530,Stewie Griffin,Children
531,Stickball Kid,Children
532,Summer Romance girl,Children
533,Susan,Children
534,Suzie,Children
535,Sydney Swift,Children
536,Little Moe Szyslak,Children
537,T-Rex,Children
538,Taffy,Children
539,Cosine Tangent,Children
540,Tanya,Children
541,Tara Gunderson,Children
542,Allison Taylor,Children
543,Terri Mackleberry,Children
544,Gino Terwilliger,Children
545,Neil Terwilliger,Children
546,Tessa Rose,Children
547,The Nahasapeemapetilon Octuplets' Octuplets,Children
548,The Sciencester,Children
549,The Twins (Stealing First Base),Children
550,Thelonious,Children
551,Thisbe,Children
552,Three Unnamed Spuckler Babies,Children
553,Thumper,Children
554,Tiffany Spuckler,Children
555,Titi,Children
556,Titi's sister,Children
557,Toby,Children
559,Tom Spuckler,Children
560,Tripod Spuckler,Children
561,Troubled Son,Children
562,Tumi,Children
563,Twinkie the Kid,Children
564,Tyler,Children
565,Tyler (Dad Behavior),Children
566,Tyler (Female 3rd Grader),Children
567,Tyler (Moms I'd Like to Forget),Children
568,Tyler Boom,Children
569,Tyler Gables,Children
570,Tyler's Brother,Children
571,Tyler's Sister,Children
572,Unborn Spuckler Baby,Children
573,Ungrateful Grandson,Children
574,Unnamed Ballet Dancer,Children
575,Unnamed blonde haired girl,Children
576,Unnamed boy with hearing aid,Children
577,Unnamed boy with sandals,Children
578,Unnamed Popular Girl,Children
579,Unnamed Spuckler Baby,Children
580,Valerie,Children
581,Valley Mercer,Children
582,Truong Van Dinh,Children
583,Milford Van Houten,Children
584,Milhouse Van Houten,Children
585,Gina Vendetti,Children
586,Victor (Child),Children
587,Volcano Kid,Children
588,Wanda,Children
589,Warren,Children
590,Warren (Camper),Children
591,Warren Van Horne,Children
592,Waverly Hills Boy 1,Children
593,Waverly Hills Boy 2,Children
594,Waverly Hills Boy 3,Children
595,Waverly Hills Boy 4,Children
597,Waverly Hills Girl 1,Children
598,Waylon Smithers Jr Jr,Children
599,Clarissa Wellington,Children
600,Wesley Wiggum,Children
601,Wesley's Siblings,Children
602,Wheel Spuckler,Children
603,White Kid,Children
604,Snow White,Children
605,White-Haired Girl,Children
606,Whitney Spuckler,Children
607,Alex Whitney,Children
608,Greta Wolfcastle,Children
609,Simon Woosterfield,Children
610,Worm-eating boy,Children
611,Yasha Spuckler,Children
612,Yellow Weasel,Children
613,Young Boy,Children
614,Zack,Children
615,Zechariah Springfield,Children
616,Jaffee Ziswhisky,Children
617,Zoe,Children
618,Üter Zörker,Children
1,Alfie,Teenagers
2,Annika Van Houten,Teenagers
3,Archie,Teenagers
4,Arnold (Grocery Store clerk),Teenagers
5,Ash Ketchum,Teenagers
6,Australian Squeaky-Voiced Teen,Teenagers
7,Babysitter,Teenagers
8,Beatrice (Dangerous Curves),Teenagers
9,Box Office Clerk,Teenagers
10,Box Office Worker,Teenagers
11,Carrie,Teenagers
12,Cassandra,Teenagers
13,Chadlington,Teenagers
14,Shauna Chalmers,Teenagers
15,Cindy,Teenagers
16,Cleveland Brown Jr,Teenagers
17,Compost,Teenagers
18,Cycloid Dolph,Teenagers
19,Danish Vendor,Teenagers
20,Darcy,Teenagers
21,Digby Diggs,Teenagers
22,Dr. Hibbert's First Daughter,Teenagers
23,Dragon Kearney,Teenagers
24,Estelle,Teenagers
25,Ewell Freestone,Teenagers
26,Fake Lisa Simpson,Teenagers
27,Female Victim,Teenagers
28,Gogo Yubari,Teenagers
29,Jesse Grass,Teenagers
30,Chris Griffin,Teenagers
31,"Frank Grimes, Jr.",Teenagers
32,Grocery Clerk,Teenagers
33,Gulp 'n' Blow Waitress,Teenagers
34,Andy Hamilton,Teenagers
35,Hans Moleman's family,Teenagers
36,Hayley Smith,Teenagers
37,High School Basketball Team Captain,Teenagers
38,Homer's high school date,Teenagers
39,Hooray For Everything,Teenagers
40,Jeremy Freedman,Teenagers
41,Jerry Mackleberry,Teenagers
42,Jesminder Bhamra,Teenagers
43,JJ Hibbert,Teenagers
44,Joey Quimby,Teenagers
45,Johnny Newspaperseed,Teenagers
46,Jimbo Jones,Teenagers
47,Josh (Krusty's nephew),Teenagers
48,Jughead,Teenagers
49,Justin Bieber (character),Teenagers
50,Kim,Teenagers
51,Krusty Burger Employee,Teenagers
52,Larry Mackleberry,Teenagers
53,Library Clerk,Teenagers
54,File:Lisa's Friend -2.JPG,Teenagers
55,Male Victim,Teenagers
56,Martin Prince's Brother,Teenagers
57,Meg Griffin,Teenagers
58,Mitch,Teenagers
59,Moose (Archie Comics),Teenagers
60,Morty Smith,Teenagers
61,Jay Nahasapeemapetilon,Teenagers
62,Alaska Nebraska,Teenagers
63,Harry Potter (character),Teenagers
64,Laura Powers,Teenagers
65,Psychopath Kid,Teenagers
66,Queen Bean,Teenagers
67,Freddy Quimby,Teenagers
68,Reggie,Teenagers
69,Roberta Tubbs,Teenagers
70,Roy,Teenagers
71,Sean,Teenagers
72,Solar Panel,Teenagers
73,Spanish Squeaky-Voiced Teen,Teenagers
74,Britney Spears (character),Teenagers
75,Spider-Man,Teenagers
76,Cletus Spuckler,Teenagers
77,Stacey Deathsatan,Teenagers
78,Dolph Starbeam,Teenagers
79,Luke Stetson,Teenagers
80,Steve Smith,Teenagers
81,T.G.I. McScratchy's Waiter 1,Teenagers
82,Tara Gunderson,Teenagers
83,Teenage Babysitter,Teenagers
84,Paris Texan,Teenagers
85,Tina,Teenagers
86,Tintin,Teenagers
87,Total stranger,Teenagers
88,Troll Jimbo,Teenagers
89,Troll Kearney,Teenagers
90,UberKid Cyclist,Teenagers
91,File:Unnamed ballet dancer.JPG,Teenagers
92,Unnamed Simpson daughter,Teenagers
93,Gina Vendetti,Teenagers
94,Waiter 2,Teenagers
95,Wilbur Nurple,Teenagers
96,Wind Lad,Teenagers
97,Devan Woosterfield,Teenagers
98,Quenley Woosterfield,Teenagers
99,Zhenya,Teenagers
100,Zia Simpson,Teenagers
0,"""Dummies"" Author",Adults
1,"""Freakin' Guns"" Guy",Adults
2,"""Nay"" Guy",Adults
3,"""Stone Cold"" Steve Austin",Adults
4,"""Suing"" Simpson Relative",Adults
5,''People Who Look Like Things'' host,Adults
6,'N Sync,Adults
7,10 Year Old Voiced Man,Adults
8,4-H leader,Adults
9,50 Cent,Adults
10,50 Cent (character),Adults
11,98th Airborne veteran,Adults
12,Aaron Sorkin,Adults
13,Abby,Adults
14,Eleanor Abernathy,Adults
15,Abigail,Adults
16,Abominable Snow Burns,Adults
17,Abraham Lincoln,Adults
18,J. J. Abrams,Adults
19,Abus,Adults
20,Accordion Player,Adults
21,Actor 1,Adults
22,Actor 2,Adults
23,Adam,Adults
24,Adam Savage (character),Adults
25,Adam Simpson,Adults
26,Adlai Stevenson,Adults
27,Admiral Carstairs,Adults
28,Admissions Agent 1,Adults
29,Admissions Agent 2,Adults
30,Neil Affleck,Adults
31,African-American Teacher,Adults
32,Age and Weight Booth Man,Adults
33,Agent Johnson,Adults
34,Agent Malone,Adults
35,Agent Miller,Adults
36,Agent Wessom,Adults
37,Aileen,Adults
38,Air Force Guard,Adults
39,Air Hostess,Adults
40,Air Safety Inspector 1,Adults
41,Air Safety Inspector 2,Adults
42,Ak,Adults
43,Akira,Adults
44,Al Gore,Adults
45,Al Gore's Secretary,Adults
46,Al Harrington,Adults
47,Alan Moore (character),Adults
48,Albert,Adults
49,Albert Einstein,Adults
50,Kumiko Albertson,Adults
51,Ms. Albright,Adults
52,Alcatraaz,Adults
53,Alcoholic Employee,Adults
54,Buzz Aldrin,Adults
55,Buzz Aldrin (character),Adults
56,Anastasia Alekova,Adults
57,Alex Salmond,Adults
58,Alexander Graham Bell,Adults
59,Alexandria Ocasio-Cortez,Adults
60,Alf,Adults
61,Alfred Bouvier,Adults
62,Alfred Hitchcock,Adults
63,Alfreda Bouvier II,Adults
64,Ali Rudy Vallée,Adults
65,Alien 2,Adults
66,Steve Allen (character),Adults
67,Woody Allen,Adults
68,Alyson Hannigan,Adults
69,Aristotle Amadopolis,Adults
70,Amanda Ormand,Adults
71,Ameil,Adults
72,Amelia Vanderbuckle,Adults
73,America's Most Armed and Dangerous Presenter,Adults
74,American Representative,Adults
75,Amish Man,Adults
76,Amy Tan,Adults
77,Amy Tan (character),Adults
78,Amy Wong,Adults
79,Anastasia,Adults
80,Gillian Anderson,Adults
81,Andre Agassi,Adults
82,Andy (Bart vs. Australia),Adults
83,Andy (Moms I'd Like to Forget),Adults
84,Andy (Scuse Me While I Miss the Sky),Adults
85,Andy Griffith,Adults
86,Andy Murray,Adults
87,Andy Serkis,Adults
88,Andy Warhol,Adults
89,Angel of Death,Adults
90,Angelo,Adults
91,Angry Audience Member,Adults
92,Angry Man,Adults
93,Angry Mob,Adults
94,Angry Mom,Adults
95,Animal Assistants clerk,Adults
96,Animal Refuge owner,Adults
97,Animal Woman,Adults
98,Anita,Adults
99,Anne-Marie Charles,Adults
100,Annette,Adults
101,Annette (therapist),Adults
102,Annex Adminstrator,Adults
103,Annie Dubinsky,Adults
104,Tattoo Annie,Adults
105,Antarctic Researcher 1,Adults
106,Antarctic Researcher 2,Adults
107,Anthony Hopkins,Adults
108,Antoine,Adults
109,Appendix Guy,Adults
110,Arboretum Overseer,Adults
111,Arcade Bouncer,Adults
112,Arcade Cashier,Adults
113,Arcade Guard 1,Adults
114,Arcade Guard 2,Adults
115,Wes Archer,Adults
116,Area 51-A guard,Adults
117,Arena Manager,Adults
118,The Aristocrat's Bartender,Adults
119,Armando (Barber),Adults
120,Armando (Flaming Moe's),Adults
121,Bud Armstrong,Adults
122,Army Colonel,Adults
123,Army Pilot 1,Adults
124,Army Pilot 2,Adults
125,Army Pilot 3,Adults
126,Bob Arnold,Adults
127,Art Garfunkel,Adults
128,Art Spiegelman (character),Adults
129,Art teacher,Adults
130,Artemis (The Last Barfighter),Adults
131,Arthur,Adults
132,Arturo Bisque,Adults
133,Asa Phelps,Adults
134,Ashley Grant,Adults
135,Asian Gang Member,Adults
136,Assembly Line Worker,Adults
137,Assistant 1,Adults
138,Assistant 2,Adults
139,Astronomer,Adults
140,Jacqueline Atkins,Adults
141,State Comptroller Atkins,Adults
142,Atom Mill Employee,Adults
